id,prod_desc,uom,prod_id
1,BLUE POLKADOT WRAP,no,21499
2,CAST IRON HOOK GARDEN FORK,no,22458
3,CHILDRENS APRON APPLES DESIGN,no,22898
4,COFFEE MUG APPLES DESIGN,no,22303
5,COFFEE MUG PEARS  DESIGN,no,22302
6,JAM MAKING SET PRINTED,no,22961
7,JUMBO BAG PINK POLKADOT,no,22386
8,JUMBO BAG RED RETROSPOT,no,85099B
9,LOVE HEART NAPKIN BOX ,no,22862
10,PEG BAG APPLES DESIGN,no,22896
11,RECIPE BOX RETROSPOT ,no,22667
12,RECYCLING BAG RETROSPOT ,no,22379
13,RED RETROSPOT CHILDRENS UMBRELLA,no,20682
14,RED RETROSPOT SHOPPER BAG,no,20718
15,RED RETROSPOT WRAP ,no,21498
16,SET OF 6 T-LIGHTS EASTER CHICKS,no,22808
17,WHITE HANGING HEART T-LIGHT HOLDER,no,85123A
18,CERAMIC BOWL WITH LOVE HEART DESIGN,no,22062
19,CERAMIC CHERRY CAKE MONEY BANK,no,22644
20,DOORSTOP RETROSPOT HEART,no,22508
21,GINGHAM HEART  DOORSTOP RED,no,21411
22,LARGE CAKE STAND HANGING HEARTS,no,22060
23,LOVE HEART POCKET WARMER,no,70006
24,PLACE SETTING WHITE HEART,no,22151
25,RED HANGING HEART T-LIGHT HOLDER,no,21733
26,SWEETHEART CERAMIC TRINKET BOX,no,21231
27,GARDEN METAL SIGN ,no,21911
28,RED KITCHEN SCALES,no,22625
29,VICTORIAN SEWING BOX SMALL ,no,21259
30,VINTAGE SNAP CARDS,no,21790
31,3 HOOK PHOTO SHELF ANTIQUE WHITE,no,22171
32,BREAD BIN DINER STYLE IVORY,no,22847
33,BREAD BIN DINER STYLE RED ,no,22846
34,ENAMEL FLOWER JUG CREAM,no,22427
35,FAMILY PHOTO FRAME CORNICE,no,22768
36,HANGING HEART JAR T-LIGHT HOLDER,no,84978
37,HANGING HEART ZINC T-LIGHT HOLDER,no,84970S
38,HOMEMADE JAM SCENTED CANDLES,no,22969
39,IVORY DINER WALL CLOCK,no,22191
40,IVORY KITCHEN SCALES,no,22624
41,JAM JAR WITH GREEN LID,no,22963
42,JAM JAR WITH PINK LID,no,22962
43,JAM MAKING SET PRINTED,no,22457
44,NATURAL SLATE HEART CHALKBOARD ,no,22907
45,PACK OF 20 NAPKINS PANTRY DESIGN,no,22796
46,PHOTO FRAME 3 CLASSIC HANGING,no,22193
47,RED DINER WALL CLOCK,no,22720
48,SET OF 3 CAKE TINS PANTRY DESIGN ,no,84378
49,SET OF 3 HEART COOKIE CUTTERS,no,84970L
50,SINGLE HEART ZINC T-LIGHT HOLDER,no,22776
51,SWEETHEART CAKESTAND 3 TIER,no,22767
52,TRIPLE PHOTO FRAME CORNICE ,no,84946
53,ANTIQUE SILVER TEA GLASS ETCHED,no,21615
54,4 LAVENDER BOTANICAL DINNER CANDLES,no,21618
55,4 WILDFLOWER BOTANICAL CANDLES,no,47504K
56,ENGLISH ROSE GARDEN SECATEURS,no,22780
57,LIGHT GARLAND BUTTERFILES PINK,no,22403
